nome-jogador,jogos-disputados_media,minutos_media,arremessos-convertidos_media,arremessos-tentados_media,triplos-convertidos_media,triplos-tentados_media,lances-livres-convertidos_media,lances-livres-tentados_media,rebotes-ofensivos_media,rebotes-defensivos_media,rebotes-totais_media,assistencias_media,erros_media,roubos_media,tocos_media,faltas_media,pontos_media,porcentagem-arremessos_media,porcentagem-triplos_media,porcentagem-lances-livres_media
Anthony Davis,14.0,29.70714285714286,7.8,16.22142857142857,0.7285714285714285,2.9071428571428575,4.021428571428571,5.621428571428571,2.307142857142857,7.828571428571429,10.135714285714284,3.6142857142857143,2.2,0.9571428571428571,1.842857142857143,2.085714285714286,20.285714285714285,48.084544253632764,25.06142506142506,71.53748411689962
Brandon Williams,38.0,14.484210526315792,2.9473684210526314,5.63421052631579,0.6342105263157894,1.7473684210526317,1.6605263157894736,2.0526315789473686,0.37368421052631584,1.4,1.773684210526316,2.1289473684210525,1.2526315789473685,0.7394736842105263,0.2,1.0526315789473684,8.102631578947369,52.31200373657169,36.295180722891565,80.89743589743588
Caleb Martin,20.0,16.240000000000002,1.61,4.17,0.27,0.9800000000000001,0.9200000000000002,1.4,0.6399999999999999,1.75,2.3899999999999997,1.5399999999999998,0.78,0.78,0.14,1.7,4.380000000000001,38.60911270983214,27.55102040816326,65.71428571428572
Cooper Flagg,7.0,31.3,4.7,11.9,1.1,3.4,3.0,3.0,0.9,5.1,6.0,2.9,1.9,0.9,0.4,2.7,13.6,39.49579831932773,32.35294117647059,100.0
D'Angelo Russell,7.0,21.6,4.0,10.6,1.6,5.3,2.9,4.0,0.4,2.7,3.1,5.6,1.9,0.6,0.1,1.4,12.4,37.735849056603776,30.188679245283023,72.5
Daniel Gafford,59.0,21.303389830508475,4.915254237288136,6.977966101694915,0.0,0.0,2.3694915254237285,3.335593220338983,2.659322033898305,4.0288135593220336,6.688135593220339,1.4203389830508475,1.159322033898305,0.4033898305084746,1.7728813559322036,2.693220338983051,12.103389830508474,70.43964051493806,0.0,71.03658536585365
Danté Exum,20.0,18.6,3.2,6.7,1.2,2.7,1.2,1.6,0.2,1.5,1.7,2.8,1.1,0.6,0.2,1.7,8.7,47.76119402985074,44.44444444444444,74.99999999999999
Dereck Lively II,39.0,22.623076923076926,3.592307692307693,5.123076923076923,0.0,0.0,1.253846153846154,1.9461538461538463,2.776923076923077,4.530769230769231,7.3076923076923075,2.446153846153846,1.1461538461538463,0.6076923076923075,1.5769230769230769,2.815384615384615,8.438461538461537,70.12012012012013,0.0,64.42687747035573
Dwight Powell,61.0,10.088524590163933,0.7999999999999999,1.1196721311475413,0.0,0.09016393442622951,0.6967213114754098,0.9967213114754098,0.8901639344262294,1.319672131147541,2.1196721311475413,0.9704918032786886,0.34918032786885245,0.3,0.39016393442622954,1.4885245901639343,2.30655737704918,71.4494875549048,0.0,69.90131578947368
Jaden Hardy,63.0,15.309523809523812,3.0380952380952384,6.985714285714285,1.2714285714285716,3.3857142857142857,1.061904761904762,1.4333333333333333,0.18095238095238095,1.3428571428571427,1.5238095238095237,1.295238095238095,1.295238095238095,0.48095238095238096,0.09047619047619047,1.542857142857143,8.31904761904762,43.490115882753926,37.552742616033754,74.08637873754152
Jazian Gortman,16.0,3.5,0.6,1.4,0.3,0.7,0.1,0.3,0.1,0.3,0.3,0.4,0.3,0.1,0.1,0.6,1.5,42.85714285714286,42.85714285714286,33.333333333333336
Kai Jones,12.0,21.7,5.1,6.099999999999999,0.10000000000000002,0.3,1.2,1.7,2.1,4.5,6.599999999999999,1.3,0.6999999999999998,0.8000000000000002,0.8000000000000002,2.3,11.4,83.6065573770492,33.33333333333334,70.58823529411765
