id-jogador,nome-jogador,apelido,id-time,sigla-time,idade,jogos-disputados,vitorias,derrotas,porcentagem-vitorias,minutos,arremessos-convertidos,arremessos-tentados,porcentagem-arremessos,triplos-convertidos,triplos-tentados,porcentagem-triplos,lances-livres-convertidos,lances-livres-tentados,porcentagem-lances-livres,rebotes-ofensivos,rebotes-defensivos,rebotes-totais,assistencias,erros,roubos,tocos,arremessos-bloqueados-contra,faltas,faltas-sofridas,pontos,saldo-pontos,pontos-fantasia-nba,duplos-duplos,triplos-duplos,pontos-fantasia-wnba,ranking-jogos-disputados,ranking-vitorias,ranking-derrotas,ranking-porcentagem-vitorias,ranking-minutos,ranking-arremessos-convertidos,ranking-arremessos-tentados,ranking-porcentagem-arremessos,ranking-triplos-convertidos,ranking-triplos-tentados,ranking-porcentagem-triplos,ranking-lances-livres-convertidos,ranking-lances-livres-tentados,ranking-porcentagem-lances-livres,ranking-rebotes-ofensivos,ranking-rebotes-defensivos,ranking-rebotes-totais,ranking-assistencias,ranking-erros,ranking-roubos,ranking-tocos,ranking-arremessos-bloqueados-contra,ranking-faltas,ranking-faltas-sofridas,ranking-pontos,ranking-saldo-pontos,ranking-pontos-fantasia-nba,ranking-duplos-duplos,ranking-triplos-duplos,ranking-pontos-fantasia-wnba,quantidade-times
203076,Anthony Davis,Anthony,1610612742,DAL,32.0,9,6,3,0.667,29.6,7.8,16.9,0.461,0.8,3.3,0.233,3.7,5.3,0.688,1.7,8.4,10.1,4.4,2.2,0.6,2.2,0.6,1.8,4.2,20.0,0.4,44.9,4,1,40.9,21,19,22,2,5,3,3,14,11,9,19,3,2,17,5,1,1,3,2,14,1,8,9,2,3,7,2,7,2,2,1
1630314,Brandon Williams,Brandon,1610612742,DAL,25.0,33,15,18,0.455,14.8,3.0,5.7,0.521,0.7,1.8,0.4,1.7,2.0,0.833,0.4,1.4,1.8,2.3,1.2,0.7,0.2,0.6,1.0,1.7,8.3,0.3,15.4,0,0,14.9,14,14,13,17,19,16,15,7,12,13,4,9,10,5,19,21,20,9,12,10,19,7,20,7,16,8,15,12,3,15,1
1628997,Caleb Martin,Caleb,1610612742,DAL,29.0,14,5,9,0.357,19.6,2.0,5.1,0.389,0.3,1.1,0.25,1.1,1.7,0.625,0.7,2.2,2.9,1.9,0.9,0.9,0.2,0.3,1.7,1.4,5.4,-2.4,13.9,0,0,12.6,19,20,17,23,13,17,17,22,15,16,17,15,12,22,14,15,13,13,16,8,16,16,10,12,17,20,16,12,3,17,1
1629655,Daniel Gafford,Daniel,1610612742,DAL,26.0,57,28,29,0.491,21.5,5.0,7.1,0.702,0.0,0.0,0.0,2.4,3.4,0.689,2.7,4.1,6.8,1.4,1.2,0.4,1.8,0.5,2.7,2.7,12.3,0.6,28.0,8,0,24.9,4,6,5,13,12,9,12,4,21,21,21,6,5,16,2,7,6,15,13,19,2,10,3,5,7,6,5,3,3,5,1
203957,Danté Exum,Danté,1610612742,DAL,29.0,20,7,13,0.35,18.6,3.2,6.7,0.478,1.2,2.7,0.434,1.2,1.6,0.742,0.2,1.5,1.7,2.8,1.1,0.6,0.2,0.7,1.7,1.6,8.7,-2.4,16.0,0,0,15.8,17,18,16,24,15,14,13,10,9,11,1,14,14,12,21,19,21,6,15,13,20,4,11,11,15,21,14,12,3,14,1
1641726,Dereck Lively II,Dereck,1610612742,DAL,21.0,36,21,15,0.583,23.1,3.7,5.3,0.702,0.0,0.0,0.0,1.3,2.0,0.63,2.9,4.6,7.5,2.4,1.1,0.6,1.6,0.6,2.8,1.4,8.7,3.4,26.5,8,0,22.8,12,11,15,4,9,11,16,5,21,21,21,11,9,21,1,5,5,8,14,14,3,6,1,13,13,2,6,3,3,9,1
203939,Dwight Powell,Dwight,1610612742,DAL,33.0,55,25,30,0.455,10.0,0.8,1.1,0.689,0.0,0.1,0.4,0.5,0.8,0.651,0.9,1.3,2.1,1.0,0.3,0.3,0.4,0.1,1.4,0.9,2.1,-0.3,7.9,0,0,6.7,7,9,4,17,21,22,24,6,20,20,4,19,19,19,10,22,19,19,20,20,12,21,17,18,22,10,21,12,3,21,1
1630702,Jaden Hardy,Jaden,1610612742,DAL,22.0,57,30,27,0.526,15.9,3.2,7.3,0.435,1.3,3.5,0.386,1.1,1.5,0.698,0.2,1.4,1.6,1.4,1.4,0.5,0.1,0.4,1.6,1.2,8.7,-1.1,13.0,0,0,14.2,4,5,6,9,17,15,10,16,8,8,8,16,15,15,22,20,22,14,7,17,23,12,14,16,14,15,17,12,3,16,1
1641789,Jazian Gortman,Jazian,1610612742,DAL,22.0,16,8,8,0.5,3.5,0.6,1.4,0.391,0.3,0.7,0.364,0.1,0.3,0.5,0.1,0.3,0.3,0.4,0.3,0.1,0.1,0.1,0.6,0.1,1.5,0.7,2.7,0,0,2.8,18,17,19,11,24,24,23,21,17,18,11,23,23,23,23,24,24,23,21,23,24,22,22,24,24,5,24,12,3,24,1
1630539,Kai Jones,Kai,1610612742,DAL,24.0,12,5,7,0.417,21.7,5.1,6.1,0.836,0.1,0.3,0.333,1.2,1.7,0.7,2.1,4.5,6.6,1.3,0.7,0.8,0.8,0.2,2.3,1.3,11.4,-1.1,25.3,1,0,22.5,20,20,20,20,11,7,14,1,19,19,14,13,13,14,3,6,7,17,18,9,5,20,6,14,9,13,9,8,3,10,1
