id-jogador,jogos-disputados,minutos,arremessos-convertidos,arremessos-tentados,porcentagem-arremessos,triplos-convertidos,triplos-tentados,porcentagem-triplos,lances-livres-convertidos,lances-livres-tentados,porcentagem-lances-livres,rebotes-ofensivos,rebotes-defensivos,rebotes-totais,assistencias,erros,roubos,tocos,faltas,pontos
203076,9,266.005,70,152,0.461,7,30,0.233,33,48,0.688,15,76,91,40,20,5,20,16,180
1630314,33,487.13,98,188,0.521,24,60,0.4,55,66,0.833,12,46,58,76,39,24,5,33,275
1628997,14,274.86333333333334,28,72,0.389,4,16,0.25,15,24,0.625,10,31,41,26,13,12,3,24,75
1629655,57,1226.095,283,403,0.702,0,0,0.0,135,196,0.689,155,233,388,80,66,23,102,152,701
203957,20,372.31,64,134,0.478,23,53,0.434,23,31,0.742,4,29,33,56,22,12,3,34,174
1641726,36,832.7366666666667,134,191,0.702,0,0,0.0,46,73,0.63,104,166,270,85,41,20,56,100,314
203939,55,550.86,42,61,0.689,2,5,0.4,28,43,0.651,47,71,118,55,18,18,21,75,114
1630702,57,907.4383333333334,180,414,0.435,76,197,0.386,60,86,0.698,9,80,89,81,82,28,5,90,496
1641789,16,56.61666666666667,9,23,0.391,4,11,0.364,2,4,0.5,1,4,5,6,5,2,1,9,24
1630539,12,260.3883333333333,61,73,0.836,1,3,0.333,14,20,0.7,25,54,79,15,8,9,10,27,137
1630556,40,608.46,67,135,0.496,22,54,0.407,12,13,0.923,22,93,115,42,16,19,20,62,168
202691,72,1964.5683333333327,361,877,0.412,216,553,0.391,67,74,0.905,44,202,246,145,88,50,30,81,1005
202681,50,1803.7966666666664,447,945,0.473,144,359,0.401,196,214,0.916,60,180,240,231,111,66,23,101,1234
1631108,32,973.0016666666668,124,302,0.411,55,151,0.364,56,65,0.862,13,122,135,80,49,29,10,42,359
1629650,4,72.99833333333333,21,29,0.724,0,0,0.0,5,6,0.833,8,23,31,2,5,4,3,11,47
1630230,69,1919.0833333333333,362,712,0.508,60,218,0.275,130,160,0.813,76,252,328,208,112,70,11,109,914
1641765,52,584.07,70,174,0.402,12,51,0.235,49,76,0.645,44,82,126,40,14,26,6,28,201
1629023,57,1834.858333333333,301,665,0.453,91,239,0.381,143,198,0.722,82,360,442,131,118,63,60,131,836
203915,79,2136.085,284,682,0.416,109,326,0.334,195,243,0.802,18,191,209,349,102,70,17,121,872
