nome-jogador,jogos-disputados,minutos,arremessos-convertidos,arremessos-tentados,triplos-convertidos,triplos-tentados,lances-livres-convertidos,lances-livres-tentados,rebotes-ofensivos,rebotes-defensivos,rebotes-totais,assistencias,erros,roubos,tocos,faltas,pontos,porcentagem-arremessos,porcentagem-triplos,porcentagem-lances-livres
Anthony Davis,14,415.34833333333336,109,227,10,41,56,79,32,110,142,51,31,13,26,29,284,0.4801762114537445,0.24390243902439024,0.7088607594936709
Brandon Williams,38,549.2083333333334,111,214,25,67,62,78,13,53,66,81,47,29,6,40,309,0.5186915887850467,0.373134328358209,0.7948717948717948
Caleb Martin,20,325.27,32,84,5,20,18,28,13,35,48,30,16,15,3,34,87,0.38095238095238093,0.25,0.6428571428571429
Cooper Flagg,7,219.09166666666667,33,83,8,24,21,21,6,36,42,20,13,6,3,19,95,0.39759036144578314,0.3333333333333333,1.0
D'Angelo Russell,7,151.49666666666667,28,74,11,37,20,28,3,19,22,39,13,4,1,10,87,0.3783783783783784,0.2972972972972973,0.7142857142857143
Daniel Gafford,59,1257.395,288,410,0,0,138,199,158,237,395,84,66,24,104,157,714,0.7024390243902439,0.0,0.6934673366834171
Danté Exum,20,372.31,64,134,23,53,23,31,4,29,33,56,22,12,3,34,174,0.47761194029850745,0.4339622641509434,0.7419354838709677
Dereck Lively II,39,883.345,141,200,0,0,48,77,108,177,285,94,46,22,60,109,330,0.705,0.0,0.6233766233766234
Dwight Powell,61,616.4033333333333,47,69,2,5,43,60,52,80,132,59,23,20,23,89,139,0.6811594202898551,0.4,0.7166666666666667
Jaden Hardy,63,965.6233333333334,189,438,82,211,64,91,9,85,94,83,84,30,5,96,524,0.4315068493150685,0.3886255924170616,0.7032967032967034
Jazian Gortman,16,56.61666666666667,9,23,4,11,2,4,1,4,5,6,5,2,1,9,24,0.391304347826087,0.36363636363636365,0.5
Kai Jones,12,260.3883333333333,61,73,1,3,14,20,25,54,79,15,8,9,10,27,137,0.8356164383561644,0.3333333333333333,0.7
Kessler Edwards,40,608.46,67,135,22,54,12,13,22,93,115,42,16,19,20,62,168,0.4962962962962963,0.4074074074074074,0.9230769230769231
Klay Thompson,79,2103.033333333333,382,941,227,593,71,78,46,221,267,156,96,51,33,86,1062,0.4059511158342189,0.3827993254637437,0.9102564102564102
Kyrie Irving,50,1803.7966666666664,447,945,144,359,196,214,60,180,240,231,111,66,23,101,1234,0.473015873015873,0.4011142061281337,0.9158878504672897
Max Christie,39,1176.68,152,355,73,188,66,78,13,139,152,97,57,30,12,52,443,0.428169014084507,0.3882978723404255,0.8461538461538461
Miles Kelly,1,2.183333333333333,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0
Moses Brown,4,72.99833333333333,21,29,0,0,5,6,8,23,31,2,5,4,3,11,47,0.7241379310344828,0.0,0.8333333333333334
Moussa Cisse,3,17.341666666666665,2,4,0,0,0,0,2,0,2,0,2,1,1,3,4,0.5,0.0,0.0
Naji Marshall,76,2076.005,377,747,62,227,148,180,79,271,350,220,118,77,11,125,964,0.5046854082998661,0.27312775330396477,0.8222222222222222
Olivier-Maxence Prosper,52,584.07,70,174,12,51,49,76,44,82,126,40,14,26,6,28,201,0.40229885057471265,0.23529411764705882,0.6447368421052632
P.J. Washington,64,2062.348333333333,341,750,99,265,159,225,89,408,497,150,137,69,68,149,940,0.45466666666666666,0.37358490566037733,0.7066666666666667
Ryan Nembhard,3,27.45,4,9,0,2,2,2,1,0,1,5,5,0,0,2,10,0.4444444444444444,0.0,1.0
Spencer Dinwiddie,79,2136.085,284,682,109,326,195,243,18,191,209,349,102,70,17,121,872,0.41642228739002934,0.3343558282208589,0.8024691358024691
