id-jogador,nome-jogador,apelido,id-time,sigla-time,idade,jogos-disputados,vitorias,derrotas,porcentagem-vitorias,minutos,arremessos-convertidos,arremessos-tentados,porcentagem-arremessos,triplos-convertidos,triplos-tentados,porcentagem-triplos,lances-livres-convertidos,lances-livres-tentados,porcentagem-lances-livres,rebotes-ofensivos,rebotes-defensivos,rebotes-totais,assistencias,erros,roubos,tocos,arremessos-bloqueados-contra,faltas,faltas-sofridas,pontos,saldo-pontos,pontos-fantasia-nba,duplos-duplos,triplos-duplos,pontos-fantasia-wnba,ranking-jogos-disputados,ranking-vitorias,ranking-derrotas,ranking-porcentagem-vitorias,ranking-minutos,ranking-arremessos-convertidos,ranking-arremessos-tentados,ranking-porcentagem-arremessos,ranking-triplos-convertidos,ranking-triplos-tentados,ranking-porcentagem-triplos,ranking-lances-livres-convertidos,ranking-lances-livres-tentados,ranking-porcentagem-lances-livres,ranking-rebotes-ofensivos,ranking-rebotes-defensivos,ranking-rebotes-totais,ranking-assistencias,ranking-erros,ranking-roubos,ranking-tocos,ranking-arremessos-bloqueados-contra,ranking-faltas,ranking-faltas-sofridas,ranking-pontos,ranking-saldo-pontos,ranking-pontos-fantasia-nba,ranking-duplos-duplos,ranking-triplos-duplos,ranking-pontos-fantasia-wnba,quantidade-times
203076,Anthony Davis,Anthony,1610612742,DAL,32.0,9,6,3,0.667,266.005,70,152,0.461,7,30,0.233,33,48,0.688,15,76,91,40,20,5,20,5,16,38,180,4,404.2,4,1,368.0,21,19,3,2,19,13,14,14,15,15,19,14,14,17,15,14,15,17,15,20,7,7,5,15,14,8,16,7,2,15,1
1630314,Brandon Williams,Brandon,1610612742,DAL,25.0,33,15,18,0.455,487.13,98,188,0.521,24,60,0.4,55,66,0.833,12,46,58,76,39,24,5,20,33,57,275,10,506.6,0,0,491.0,14,14,12,17,16,12,12,7,10,10,4,11,12,5,17,18,18,12,12,11,17,15,9,9,12,7,12,12,3,12,1
1628997,Caleb Martin,Caleb,1610612742,DAL,29.0,14,5,9,0.357,274.86333333333334,28,72,0.389,4,16,0.25,15,24,0.625,10,31,41,26,13,12,3,4,24,20,75,-33,195.2,0,0,176.0,19,20,7,23,18,20,19,22,16,16,17,18,17,22,18,19,19,19,19,16,19,6,6,18,20,15,20,12,3,20,1
1629655,Daniel Gafford,Daniel,1610612742,DAL,26.0,57,28,29,0.491,1226.095,283,403,0.702,0,0,0.0,135,196,0.689,155,233,388,80,66,23,102,30,152,155,701,35,1595.6,8,0,1419.0,4,6,20,13,6,6,8,4,21,21,21,4,4,16,1,3,2,10,8,12,1,21,24,4,6,5,6,3,3,6,1
203957,Danté Exum,Danté,1610612742,DAL,29.0,20,7,13,0.35,372.31,64,134,0.478,23,53,0.434,23,31,0.742,4,29,33,56,22,12,3,14,34,31,174,-48,320.6,0,0,316.0,17,18,9,24,17,16,16,10,11,12,1,16,16,12,22,20,20,13,14,16,19,13,10,16,15,17,18,12,3,17,1
1641726,Dereck Lively II,Dereck,1610612742,DAL,21.0,36,21,15,0.583,832.7366666666667,134,191,0.702,0,0,0.0,46,73,0.63,104,166,270,85,41,20,56,23,100,51,314,121,952.5,8,0,821.0,12,11,10,4,10,10,11,5,21,21,21,13,11,21,2,8,4,8,11,13,3,18,19,11,11,3,8,3,3,9,1
203939,Dwight Powell,Dwight,1610612742,DAL,33.0,55,25,30,0.455,550.86,42,61,0.689,2,5,0.4,28,43,0.651,47,71,118,55,18,18,21,6,75,48,114,-14,437.1,0,0,367.0,7,9,21,17,15,18,20,6,18,19,4,15,15,19,6,15,12,14,16,15,6,8,15,14,18,13,15,12,3,16,1
1630702,Jaden Hardy,Jaden,1610612742,DAL,22.0,57,30,27,0.526,907.4383333333334,180,414,0.435,76,197,0.386,60,86,0.698,9,80,89,81,82,28,5,24,90,68,496,-65,741.3,0,0,808.0,4,5,19,9,9,8,7,16,6,8,8,9,7,15,19,13,16,9,6,9,17,20,18,8,8,18,10,12,3,10,1
1641789,Jazian Gortman,Jazian,1610612742,DAL,22.0,16,8,8,0.5,56.61666666666667,9,23,0.391,4,11,0.364,2,4,0.5,1,4,5,6,5,2,1,1,9,2,24,11,43.0,0,0,45.0,18,17,6,11,23,23,22,21,16,18,11,23,23,23,23,24,24,21,21,22,23,3,3,23,22,6,23,12,3,23,1
1630539,Kai Jones,Kai,1610612742,DAL,24.0,12,5,7,0.417,260.3883333333333,61,73,0.836,1,3,0.333,14,20,0.7,25,54,79,15,8,9,10,2,27,16,137,-13,303.3,1,0,270.0,20,20,5,20,20,17,18,1,20,20,14,19,19,14,10,17,17,20,20,18,12,4,7,19,17,12,19,8,3,19,1
1630556,Kessler Edwards,Kessler,1610612742,DAL,24.0,40,17,23,0.425,608.46,67,135,0.496,22,54,0.407,12,13,0.923,22,93,115,42,16,19,20,7,62,15,168,-158,470.0,1,0,425.0,11,13,16,19,13,15,15,9,12,11,2,20,20,1,12,11,13,16,17,14,7,9,13,20,16,23,14,8,3,14,1
202691,Klay Thompson,Klay,1610612742,DAL,35.0,72,33,39,0.458,1964.5683333333332,361,877,0.412,216,553,0.391,67,74,0.905,44,202,246,145,88,50,30,21,81,51,1005,-79,1669.7,0,0,1772.0,2,2,23,16,2,3,2,18,1,1,7,7,10,3,7,4,5,5,5,5,4,16,17,11,2,20,5,12,3,2,1
202681,Kyrie Irving,Kyrie,1610612742,DAL,33.0,50,28,22,0.56,1803.7966666666664,447,945,0.473,144,359,0.401,196,214,0.916,60,180,240,231,111,66,23,40,101,164,1234,124,2024.5,0,0,2027.0,9,6,14,5,5,1,1,11,2,2,3,1,2,2,5,6,6,2,3,3,5,23,20,2,1,2,1,12,3,1,1
1631108,Max Christie,Max,1610612742,DAL,22.0,32,13,19,0.406,973.0016666666668,124,302,0.411,55,151,0.364,56,65,0.862,13,122,135,80,49,29,10,21,42,51,359,-66,709.0,0,0,707.0,15,15,13,21,8,11,10,19,9,9,10,10,13,4,16,10,10,10,10,8,12,16,11,11,10,19,11,12,3,11,1
1629650,Moses Brown,Moses,1610612742,DAL,25.0,4,2,2,0.5,72.99833333333333,21,29,0.724,0,0,0.0,5,6,0.833,8,23,31,2,5,4,3,3,11,5,47,-3,103.2,1,0,94.0,24,24,1,11,21,21,21,3,21,21,21,21,21,5,20,21,21,23,21,21,19,5,4,21,21,9,21,8,3,21,1
1630230,Naji Marshall,Naji,1610612742,DAL,27.0,69,32,37,0.464,1919.0833333333333,362,712,0.508,60,218,0.275,130,160,0.813,76,252,328,208,112,70,11,37,109,118,914,-137,1750.6,6,0,1672.0,3,3,22,15,3,2,3,8,8,5,15,5,5,7,4,2,3,3,2,1,11,22,21,6,3,22,4,5,3,5,1
1641765,Olivier-Maxence Prosper,Olivier-Maxence,1610612742,DAL,22.0,52,27,25,0.519,584.07,70,174,0.402,12,51,0.235,49,76,0.645,44,82,126,40,14,26,6,17,28,53,201,-104,494.2,0,0,443.0,8,8,17,10,14,13,13,20,14,13,18,12,9,20,7,12,11,17,18,10,16,14,8,10,13,21,13,12,3,13,1
1629023,P.J. Washington,P.J.,1610612742,DAL,26.0,57,31,26,0.544,1834.8583333333331,301,665,0.453,91,239,0.381,143,198,0.722,82,360,442,131,118,63,60,50,131,158,836,49,1813.9,14,0,1746.0,4,4,18,6,4,4,5,15,4,4,9,3,3,13,3,1,1,6,1,4,2,24,23,3,5,4,2,1,3,3,1
203915,Spencer Dinwiddie,Spencer,1610612742,DAL,32.0,79,37,42,0.468,2136.085,284,682,0.416,109,326,0.334,195,243,0.802,18,191,209,349,102,70,17,23,121,197,872,-222,1805.3,5,0,1713.0,1,1,24,14,1,5,4,17,3,3,13,2,1,8,13,5,7,1,4,1,9,18,22,1,4,24,3,6,3,4,1
203076,Anthony Davis,Anthony,1610612742,DAL,32.0,5,2,3,0.4,149.34333333333333,39,75,0.52,3,11,0.273,23,31,0.742,17,34,51,11,11,8,6,3,13,29,104,-27,212.7,4,0,197.0,10,1,5,2,6,2,3,5,7,7,7,1,1,10,1,3,2,6,4,1,2,12,12,1,1,12,2,1,1,2,1
1630314,Brandon Williams,Brandon,1610612742,DAL,25.0,5,1,4,0.2,62.07833333333333,13,26,0.5,1,7,0.143,7,12,0.583,1,7,8,5,8,5,1,1,7,10,34,-9,61.1,0,0,60.0,10,11,7,14,9,8,8,6,9,9,10,8,8,13,12,10,10,9,5,5,9,2,7,8,8,8,8,5,1,8,1
1628997,Caleb Martin,Caleb,1610612742,DAL,30.0,6,2,4,0.333,50.406666666666666,4,12,0.333,1,4,0.25,3,4,0.75,3,4,7,4,3,3,0,2,10,2,12,-11,32.4,0,0,30.0,7,1,7,3,12,13,10,14,9,10,8,11,10,9,6,12,11,11,12,7,12,8,9,12,13,10,13,5,1,12,1
1642843,Cooper Flagg,Cooper,1610612742,DAL,18.0,7,2,5,0.286,219.09166666666667,33,83,0.398,8,24,0.333,21,21,1.0,6,36,42,20,13,6,3,6,19,23,95,-69,189.4,2,0,183.0,1,1,11,8,2,3,2,11,4,5,3,2,4,1,3,2,3,2,2,3,4,16,16,2,3,15,3,2,1,3,1
1626156,D'Angelo Russell,D'Angelo,1610612742,DAL,29.0,7,2,5,0.286,151.49666666666667,28,74,0.378,11,37,0.297,20,28,0.714,3,19,22,39,13,4,1,2,10,21,87,28,173.9,1,0,169.0,1,1,11,8,5,4,4,12,2,2,5,3,2,11,6,4,4,1,2,6,9,8,9,3,4,1,4,3,1,4,1
1629655,Daniel Gafford,Daniel,1610612742,DAL,27.0,2,0,2,0.0,31.3,5,7,0.714,0,0,0.0,3,3,1.0,3,4,7,4,0,1,2,1,5,4,13,5,36.4,0,0,30.0,15,15,2,15,13,11,14,2,11,12,11,11,13,1,6,12,11,11,16,11,6,2,4,10,12,3,12,5,1,12,1
1641726,Dereck Lively II,Dereck,1610612742,DAL,21.0,3,1,2,0.333,50.60833333333333,7,9,0.778,0,0,0.0,2,4,0.5,4,11,15,9,5,2,4,1,9,3,16,15,60.5,0,0,52.0,12,11,2,3,11,10,11,1,11,12,11,13,10,14,5,8,8,8,9,8,3,2,8,11,11,2,9,5,1,9,1
203939,Dwight Powell,Dwight,1610612742,DAL,34.0,6,2,4,0.333,65.54333333333334,5,8,0.625,0,0,0.0,15,17,0.882,5,9,14,4,5,2,2,1,14,13,25,-3,54.8,0,0,51.0,7,1,7,3,8,11,13,3,11,12,11,6,6,6,4,9,9,11,9,8,6,2,13,5,10,5,10,5,1,10,1
1630702,Jaden Hardy,Jaden,1610612742,DAL,23.0,6,2,4,0.333,58.185,9,24,0.375,6,14,0.429,4,5,0.8,0,5,5,2,2,2,0,2,6,5,28,-6,41.0,0,0,45.0,7,1,7,3,10,9,9,13,6,6,2,9,9,7,14,11,13,14,13,8,12,8,6,9,9,6,11,5,1,11,1
202691,Klay Thompson,Klay,1610612742,DAL,35.0,7,2,5,0.286,138.465,21,64,0.328,11,40,0.275,4,4,1.0,2,19,21,11,8,1,3,2,5,2,57,-70,102.7,0,0,108.0,1,1,11,8,7,6,5,15,2,1,6,9,10,1,10,4,6,6,5,11,4,8,4,12,6,16,7,5,1,6,1
1631108,Max Christie,Max,1610612742,DAL,22.0,7,2,5,0.286,203.6783333333333,28,53,0.528,18,37,0.486,10,13,0.769,0,17,17,17,8,1,2,4,10,12,84,1,130.9,0,0,142.0,1,1,11,8,3,4,6,4,1,2,1,7,7,8,14,7,7,4,5,11,6,13,9,6,5,4,5,5,1,5,1
1642939,Miles Kelly,Miles,1610612742,DAL,22.0,1,1,0,1.0,2.183333333333333,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,1,0,0,-6,-1.0,0,0,0.0,16,11,1,1,16,16,16,16,11,12,11,15,15,15,14,14,16,15,15,15,12,1,1,16,16,6,16,5,1,16,1
1630619,Moussa Cisse,Moussa,1610612742,DAL,23.0,3,0,3,0.0,17.341666666666665,2,4,0.5,0,0,0.0,0,0,0.0,2,0,2,0,2,1,1,1,3,1,4,-9,10.4,0,0,10.0,12,15,5,15,15,15,15,6,11,12,11,15,15,15,10,14,14,15,13,11,9,2,3,15,15,8,15,5,1,15,1
1630230,Naji Marshall,Naji,1610612742,DAL,27.0,7,2,5,0.286,156.92166666666665,15,35,0.429,2,9,0.222,18,20,0.9,3,19,22,12,6,7,0,5,16,12,50,-50,109.4,0,0,100.0,1,1,11,8,4,7,7,10,8,8,9,4,5,5,6,4,4,5,8,2,12,15,14,6,7,14,6,5,1,7,1
1629023,P.J. Washington,P.J.,1610612742,DAL,27.0,7,2,5,0.286,227.49,40,85,0.471,8,26,0.308,16,27,0.593,7,48,55,19,19,6,8,4,18,21,104,-49,221.5,1,0,214.0,1,1,11,8,1,1,1,8,4,4,4,5,3,12,2,1,1,3,1,3,1,13,15,3,1,13,1,3,1,1,1
