data-jogo,resultado,mando-de-jogo,pontos,saldo-pontos,arremessos-convertidos,arremessos-tentados,porcentagem-arremessos,triplos-convertidos,triplos-tentados,porcentagem-triplos,lances-livres-convertidos,lances-livres-tentados,porcentagem-lances-livres,rebotes-ofensivos,rebotes-defensivos,rebotes-totais,assistencias,roubos,tocos,erros,faltas
20241007,0,1,116,-5.0,41,90,0.456,13,33,0.394,21,32,0.656,7,29,36,26,19,3,14,26
20241010,0,1,102,-5.0,39,87,0.448,8,26,0.308,16,21,0.762,10,35,45,21,8,10,17,27
20241014,0,0,96,-14.0,35,84,0.417,15,40,0.375,11,16,0.688,8,30,38,21,6,8,29,20
20241017,1,1,109,25.0,40,80,0.5,8,28,0.286,21,25,0.84,9,44,53,23,8,9,14,10
20241024,1,1,120,11.0,42,102,0.412,19,44,0.432,17,23,0.739,17,33,50,27,9,5,9,21
20241026,0,0,102,-12.0,37,93,0.398,13,41,0.317,15,18,0.833,12,34,46,22,6,2,8,28
20241028,1,1,110,8.0,43,95,0.453,11,39,0.282,13,17,0.765,13,37,50,27,9,12,13,23
20241029,1,0,120,6.0,45,93,0.484,16,39,0.41,14,18,0.778,12,28,40,25,12,2,9,21
20241031,0,1,102,-6.0,39,85,0.459,10,30,0.333,14,20,0.7,10,27,37,21,6,7,10,27
20241103,1,1,108,23.0,42,85,0.494,10,32,0.313,14,23,0.609,12,41,53,25,8,5,18,22
20241104,0,1,127,-7.0,46,89,0.517,15,36,0.417,20,25,0.8,5,33,38,29,4,3,8,18
20241106,1,1,119,20.0,45,93,0.484,12,38,0.316,17,21,0.81,9,38,47,33,11,4,15,19
20241108,0,1,113,-1.0,41,80,0.513,11,33,0.333,20,22,0.909,8,31,39,18,5,1,11,22
20241110,0,0,120,-2.0,48,90,0.533,10,33,0.303,14,19,0.737,10,32,42,29,7,5,10,17
20241112,0,0,117,-3.0,44,84,0.524,11,34,0.324,18,24,0.75,8,32,40,26,6,1,17,23
20241114,0,0,113,-2.0,43,85,0.506,12,39,0.308,15,20,0.75,11,19,30,25,11,10,17,18
20241116,1,1,110,17.0,44,94,0.468,8,31,0.258,14,18,0.778,13,40,53,26,9,7,14,18
20241117,1,0,121,2.0,40,84,0.476,11,27,0.407,30,36,0.833,18,35,53,18,4,5,16,20
20241119,1,1,132,41.0,49,94,0.521,14,31,0.452,20,25,0.8,14,34,48,26,12,7,11,15
20241122,1,0,123,3.0,46,91,0.505,10,27,0.37,21,27,0.778,12,32,44,24,11,5,13,22
20241124,0,0,118,-5.0,44,105,0.419,10,40,0.25,20,25,0.8,15,44,59,29,6,9,13,24
20241125,1,0,129,10.0,47,94,0.5,16,35,0.457,19,22,0.864,10,41,51,24,6,8,17,13
20241127,1,1,129,15.0,48,85,0.565,17,33,0.515,16,21,0.762,10,33,43,27,6,4,13,25
20241130,1,0,106,12.0,41,90,0.456,15,39,0.385,9,15,0.6,12,36,48,30,12,6,15,21
20241201,1,0,137,6.0,48,87,0.552,18,36,0.5,23,29,0.793,8,25,33,33,13,0,13,15
20241203,1,1,121,5.0,39,81,0.481,13,32,0.406,30,44,0.682,14,35,49,24,8,8,25,23
20241205,1,0,137,36.0,48,89,0.539,20,38,0.526,21,27,0.778,13,45,58,27,8,12,15,16
20241207,1,0,125,7.0,38,81,0.469,17,45,0.378,32,37,0.865,14,38,52,21,10,8,18,16
20241210,0,0,104,-14.0,38,80,0.475,15,36,0.417,13,19,0.684,7,37,44,25,10,2,18,12
20241215,1,0,143,10.0,52,87,0.598,21,41,0.512,18,25,0.72,10,37,47,36,8,5,15,12
20241219,0,1,95,-23.0,34,86,0.395,7,30,0.233,20,28,0.714,8,32,40,21,9,5,13,13
20241221,1,1,113,16.0,40,88,0.455,14,35,0.4,19,22,0.864,11,32,43,25,12,5,11,18
20241223,1,1,132,24.0,48,90,0.533,12,36,0.333,24,34,0.706,13,28,41,27,10,4,10,21
20241225,0,1,99,-6.0,36,87,0.414,16,43,0.372,11,11,1.0,11,32,43,15,6,8,12,13
20241227,1,0,98,9.0,35,80,0.438,12,34,0.353,16,17,0.941,7,34,41,24,6,5,15,15
20241228,0,0,122,-4.0,43,89,0.483,15,38,0.395,21,26,0.808,10,30,40,20,6,10,13,21
20241230,0,0,100,-10.0,32,76,0.421,12,31,0.387,24,29,0.828,2,34,36,17,8,13,17,20
20250101,0,0,99,-11.0,40,75,0.533,11,28,0.393,8,16,0.5,6,32,38,19,9,12,20,20
20250103,0,1,122,-12.0,43,100,0.43,12,44,0.273,24,30,0.8,21,32,53,29,3,4,12,17
20250106,0,0,104,-15.0,40,98,0.408,13,36,0.361,11,15,0.733,13,37,50,25,7,8,15,22
20250107,1,1,118,21.0,45,86,0.523,18,38,0.474,10,14,0.714,11,33,44,29,7,0,10,16
20250109,1,1,117,6.0,40,88,0.455,10,30,0.333,27,30,0.9,16,37,53,26,8,7,14,18
20250112,0,1,101,-11.0,35,85,0.412,12,34,0.353,19,25,0.76,8,29,37,27,7,5,12,20
20250114,0,1,99,-19.0,38,90,0.422,9,32,0.281,14,22,0.636,8,22,30,27,14,6,12,17
20250115,0,0,116,-3.0,43,90,0.478,12,35,0.343,18,25,0.72,8,37,45,27,9,3,15,17
20250117,1,1,106,8.0,37,75,0.493,16,41,0.39,16,22,0.727,6,37,43,25,11,7,17,18
20250120,0,0,105,-5.0,38,88,0.432,6,32,0.188,23,26,0.885,16,35,51,19,10,8,14,15
20250122,0,1,114,-1.0,45,90,0.5,8,29,0.276,16,19,0.842,7,31,38,24,5,4,13,21
20250123,1,0,121,6.0,39,74,0.527,14,31,0.452,29,36,0.806,8,35,43,25,9,3,20,25
20250125,0,1,107,-15.0,39,88,0.443,8,22,0.364,21,28,0.75,13,36,49,18,2,8,12,20
20250127,1,1,130,22.0,49,92,0.533,20,45,0.444,12,17,0.706,13,38,51,39,5,7,11,20
20250129,1,0,137,1.0,52,96,0.542,20,43,0.465,13,17,0.765,16,35,51,30,6,6,18,17
20250131,0,0,102,-15.0,37,87,0.425,11,33,0.333,17,21,0.81,16,30,46,20,4,13,16,14
20250202,0,0,101,-43.0,40,103,0.388,9,43,0.209,12,15,0.8,10,35,45,22,6,3,9,11
20250204,0,0,116,-2.0,40,85,0.471,11,33,0.333,25,31,0.806,15,29,44,24,8,4,12,19
20250206,1,0,127,7.0,49,88,0.557,15,33,0.455,14,18,0.778,8,27,35,32,9,4,8,15
20250208,1,1,116,11.0,39,83,0.47,12,23,0.522,26,34,0.765,12,31,43,22,4,18,5,18
20250210,0,1,128,-1.0,49,95,0.516,15,37,0.405,15,24,0.625,5,28,33,31,11,4,11,19
20250212,1,1,111,4.0,42,87,0.483,15,36,0.417,12,15,0.8,9,30,39,20,9,7,14,16
20250213,1,1,118,5.0,46,90,0.511,13,36,0.361,13,16,0.813,11,29,40,28,7,2,13,17
20250221,1,1,111,8.0,37,86,0.43,16,44,0.364,21,27,0.778,8,39,47,28,8,4,13,18
20250223,0,0,102,-24.0,38,82,0.463,13,32,0.406,13,19,0.684,7,34,41,24,7,4,18,22
20250225,0,0,99,-8.0,35,98,0.357,17,44,0.386,12,13,0.923,14,31,45,23,7,11,12,14
20250227,1,1,103,7.0,40,97,0.412,11,36,0.306,12,16,0.75,10,38,48,23,12,7,7,11
20250301,0,1,117,-15.0,43,91,0.473,11,40,0.275,20,25,0.8,8,25,33,25,7,1,11,23
20250303,0,1,98,-24.0,35,77,0.455,7,26,0.269,21,24,0.875,7,30,37,28,5,1,13,13
20250305,0,0,107,-30.0,45,98,0.459,13,39,0.333,4,10,0.4,5,25,30,30,13,3,10,13
20250307,0,1,111,-11.0,37,96,0.385,15,41,0.366,22,24,0.917,11,34,45,24,7,7,12,13
20250309,0,1,116,-9.0,43,88,0.489,17,42,0.405,13,16,0.813,5,27,32,29,8,2,6,13
20250310,1,0,133,4.0,47,88,0.534,12,38,0.316,27,30,0.9,10,30,40,25,5,2,10,18
20250312,0,0,116,-10.0,45,81,0.556,13,32,0.406,13,17,0.765,3,28,31,30,8,0,17,12
20250314,0,0,96,-37.0,39,94,0.415,8,22,0.364,10,12,0.833,6,28,34,14,4,6,7,11
20250316,0,1,125,-5.0,46,87,0.529,10,34,0.294,23,30,0.767,10,35,45,26,4,3,15,19
20250319,0,0,131,-4.0,48,88,0.545,11,27,0.407,24,32,0.75,7,34,41,23,6,0,12,26
20250321,1,1,123,6.0,42,80,0.525,12,34,0.353,27,36,0.75,10,34,44,25,10,7,20,16
20250324,1,0,120,19.0,49,87,0.563,10,31,0.323,12,16,0.75,11,30,41,34,10,1,10,15
20250325,0,0,113,-15.0,43,80,0.538,6,19,0.316,21,25,0.84,5,28,33,19,9,3,16,16
20250327,1,0,101,9.0,37,78,0.474,11,22,0.5,16,22,0.727,5,35,40,21,10,1,14,17
20250329,1,0,120,1.0,47,101,0.465,9,30,0.3,17,21,0.81,8,33,41,28,9,8,6,18
20250331,0,1,109,-4.0,41,86,0.477,10,30,0.333,17,29,0.586,12,37,49,29,4,3,8,19
20250402,1,1,120,2.0,44,83,0.53,15,33,0.455,17,21,0.81,4,38,42,27,7,8,13,16
20250404,0,0,91,-23.0,35,77,0.455,4,20,0.2,17,26,0.654,6,33,39,19,7,0,17,14
20250405,0,0,104,-31.0,34,78,0.436,7,27,0.259,29,38,0.763,10,31,41,18,5,8,15,18
20250409,0,1,97,-15.0,36,72,0.5,9,26,0.346,16,23,0.696,9,29,38,30,6,6,19,14
20250411,1,1,124,22.0,49,89,0.551,15,34,0.441,11,17,0.647,12,44,56,34,8,10,17,12
20250413,0,0,97,-35.0,38,87,0.437,5,28,0.179,16,22,0.727,10,28,38,20,6,3,18,13
20250416,1,0,120,14.0,41,83,0.494,14,28,0.5,24,26,0.923,10,31,41,29,9,8,9,15
20250418,0,0,106,-14.0,41,87,0.471,12,38,0.316,12,16,0.75,7,29,36,25,9,8,16,17
20251006,1,1,106,17.0,34,81,0.42,11,35,0.314,27,30,0.9,11,47,58,26,5,12,21,20
20251011,0,1,116,-4.0,46,90,0.511,10,27,0.37,14,21,0.667,5,32,37,30,16,7,14,18
20251013,1,0,114,13.0,37,94,0.394,15,53,0.283,25,32,0.781,18,41,59,32,8,10,15,20
20251015,1,0,121,27.0,45,89,0.506,9,31,0.29,22,28,0.786,7,39,46,30,11,3,8,15
20251022,0,1,92,-33.0,31,83,0.373,9,21,0.429,21,26,0.808,9,28,37,20,5,3,16,24
20251024,0,1,107,-10.0,38,88,0.432,10,34,0.294,21,27,0.778,9,39,48,23,11,5,21,19
20251026,1,1,139,10.0,50,85,0.588,10,26,0.385,29,39,0.744,12,37,49,32,12,7,20,26
20251027,0,1,94,-7.0,33,87,0.379,12,39,0.308,16,22,0.727,6,30,36,20,6,4,8,15
20251029,1,1,107,2.0,36,79,0.456,5,24,0.208,30,37,0.811,7,40,47,21,4,7,19,22
20251101,0,0,110,-12.0,34,80,0.425,16,45,0.356,26,31,0.839,7,36,43,23,3,3,15,25
20251103,0,0,102,-8.0,40,89,0.449,9,36,0.25,13,20,0.65,10,30,40,30,12,6,15,25
