nome-jogador,posicao-g-f-fc-cf-c,altura-cm,peso-kg,idade,jogos-disputados_media,minutos_media,arremessos-convertidos_media,arremessos-tentados_media,porcentagem-arremessos_media,triplos-convertidos_media,triplos-tentados_media,porcentagem-triplos_media,lances-livres-convertidos_media,lances-livres-tentados_media,porcentagem-lances-livres_media,rebotes-ofensivos_media,rebotes-defensivos_media,rebotes-totais_media,assistencias_media,erros_media,roubos_media,tocos_media,faltas_media,pontos_media,jogos-disputados_total,minutos_total,arremessos-convertidos_total,arremessos-tentados_total,porcentagem-arremessos_total,triplos-convertidos_total,triplos-tentados_total,porcentagem-triplos_total,lances-livres-convertidos_total,lances-livres-tentados_total,porcentagem-lances-livres_total,rebotes-ofensivos_total,rebotes-defensivos_total,rebotes-totais_total,assistencias_total,erros_total,roubos_total,tocos_total,faltas_total,pontos_total,eficiencia-simples
Max Christie,1,195.6,86.2,22.0,32,30.4,3.9,9.4,0.411,1.7,4.7,0.364,1.8,2.0,0.862,0.4,3.8,4.2,2.5,1.5,0.9,0.3,1.3,11.2,32,973.0016666666668,124,302,0.411,55,151,0.364,56,65,0.862,13,122,135,80,49,29,10,42,359,1.1914893617021276
Danté Exum,1,195.6,97.1,29.0,20,18.6,3.2,6.7,0.478,1.2,2.7,0.434,1.2,1.6,0.742,0.2,1.5,1.7,2.8,1.1,0.6,0.2,1.7,8.7,20,372.31,64,134,0.478,23,53,0.434,23,31,0.742,4,29,33,56,22,12,3,34,174,1.298507462686567
Jaden Hardy,1,190.5,89.8,22.0,57,15.9,3.2,7.3,0.435,1.3,3.5,0.386,1.1,1.5,0.698,0.2,1.4,1.6,1.4,1.4,0.5,0.1,1.6,8.7,57,907.4383333333334,180,414,0.435,76,197,0.386,60,86,0.698,9,80,89,81,82,28,5,90,496,1.191780821917808
Dereck Lively II,5,215.9,104.3,21.0,36,23.1,3.7,5.3,0.702,0.0,0.0,0.0,1.3,2.0,0.63,2.9,4.6,7.5,2.4,1.1,0.6,1.6,2.8,8.7,36,832.7366666666667,134,191,0.702,0,0,0.0,46,73,0.63,104,166,270,85,41,20,56,100,314,1.641509433962264
Anthony Davis,3,208.3,114.8,32.0,9,29.6,7.8,16.9,0.461,0.8,3.3,0.233,3.7,5.3,0.688,1.7,8.4,10.1,4.4,2.2,0.6,2.2,1.8,20.0,9,266.005,70,152,0.461,7,30,0.233,33,48,0.688,15,76,91,40,20,5,20,16,180,1.183431952662722
Dwight Powell,3,208.3,108.9,33.0,55,10.0,0.8,1.1,0.689,0.0,0.1,0.4,0.5,0.8,0.651,0.9,1.3,2.1,1.0,0.3,0.3,0.4,1.4,2.1,55,550.86,42,61,0.689,2,5,0.4,28,43,0.651,47,71,118,55,18,18,21,75,114,1.909090909090909
Olivier-Maxence Prosper,2,200.7,104.3,22.0,52,11.2,1.3,3.3,0.402,0.2,1.0,0.235,0.9,1.5,0.645,0.8,1.6,2.4,0.8,0.3,0.5,0.1,0.5,3.9,52,584.07,70,174,0.402,12,51,0.235,49,76,0.645,44,82,126,40,14,26,6,28,201,1.1818181818181819
Brandon Williams,1,185.4,86.2,25.0,33,14.8,3.0,5.7,0.521,0.7,1.8,0.4,1.7,2.0,0.833,0.4,1.4,1.8,2.3,1.2,0.7,0.2,1.0,8.3,33,487.13,98,188,0.521,24,60,0.4,55,66,0.833,12,46,58,76,39,24,5,33,275,1.456140350877193
Kyrie Irving,1,188.0,88.5,33.0,50,36.1,8.9,18.9,0.473,2.9,7.2,0.401,3.9,4.3,0.916,1.2,3.6,4.8,4.6,2.2,1.3,0.5,2.0,24.7,50,1803.7966666666664,447,945,0.473,144,359,0.401,196,214,0.916,60,180,240,231,111,66,23,101,1234,1.306878306878307
Naji Marshall,2,198.1,99.8,27.0,69,27.8,5.2,10.3,0.508,0.9,3.2,0.275,1.9,2.3,0.813,1.1,3.7,4.8,3.0,1.6,1.0,0.2,1.6,13.2,69,1919.0833333333333,362,712,0.508,60,218,0.275,130,160,0.813,76,252,328,208,112,70,11,109,914,1.2815533980582523
