nome-jogador,posicao-g-f-fc-cf-c,altura-cm,peso-kg,idade,jogos-disputados_media,minutos_media,arremessos-convertidos_media,arremessos-tentados_media,porcentagem-arremessos_media,triplos-convertidos_media,triplos-tentados_media,porcentagem-triplos_media,lances-livres-convertidos_media,lances-livres-tentados_media,porcentagem-lances-livres_media,rebotes-ofensivos_media,rebotes-defensivos_media,rebotes-totais_media,assistencias_media,erros_media,roubos_media,tocos_media,faltas_media,pontos_media,jogos-disputados_total,minutos_total,arremessos-convertidos_total,arremessos-tentados_total,porcentagem-arremessos_total,triplos-convertidos_total,triplos-tentados_total,porcentagem-triplos_total,lances-livres-convertidos_total,lances-livres-tentados_total,porcentagem-lances-livres_total,rebotes-ofensivos_total,rebotes-defensivos_total,rebotes-totais_total,assistencias_total,erros_total,roubos_total,tocos_total,faltas_total,pontos_total,eficiencia-simples
Max Christie,1,195.6,86.2,22.0,39.0,30.166666666666668,3.9179487179487182,9.076923076923077,43.163841807909606,1.8615384615384614,4.8076923076923075,38.72,1.7282051282051283,1.982051282051282,87.19275549805951,0.3282051282051282,3.548717948717949,3.8769230769230774,2.482051282051282,1.4282051282051282,0.7564102564102564,0.3,1.317948717948718,11.343589743589742,39,1176.68,152,355,42.816901408450704,73,188,38.82978723404255,66,78,84.61538461538461,13,139,152,97,57,30,12,52,443,1.2497175141242938
Danté Exum,1,195.6,97.1,29.0,20.0,18.6,3.2,6.7,47.76119402985074,1.2,2.7,44.44444444444444,1.2,1.6,74.99999999999999,0.2,1.5,1.7,2.8,1.1,0.6,0.2,1.7,8.7,20,372.31,64,134,47.76119402985074,23,53,43.39622641509434,23,31,74.19354838709677,4,29,33,56,22,12,3,34,174,1.298507462686567
Jaden Hardy,1,190.5,89.8,22.0,63.0,15.309523809523812,3.0380952380952384,6.985714285714285,43.490115882753926,1.2714285714285716,3.3857142857142857,37.552742616033754,1.061904761904762,1.4333333333333333,74.08637873754152,0.18095238095238095,1.3428571428571427,1.5238095238095237,1.295238095238095,1.295238095238095,0.48095238095238096,0.09047619047619047,1.542857142857143,8.31904761904762,63,965.6233333333334,189,438,43.15068493150685,82,211,38.862559241706165,64,91,70.32967032967034,9,85,94,83,84,30,5,96,524,1.1908657123381052
Dereck Lively II,5,215.9,104.3,21.0,39.0,22.623076923076926,3.592307692307693,5.123076923076923,70.12012012012013,0.0,0.0,0.0,1.253846153846154,1.9461538461538463,64.42687747035573,2.776923076923077,4.530769230769231,7.3076923076923075,2.446153846153846,1.1461538461538463,0.6076923076923075,1.5769230769230769,2.815384615384615,8.438461538461537,39,883.345,141,200,70.5,0,0,0.0,48,77,62.33766233766234,108,177,285,94,46,22,60,109,330,1.647147147147147
Anthony Davis,3,208.3,114.8,32.0,14.0,29.70714285714286,7.8,16.22142857142857,48.084544253632764,0.7285714285714285,2.9071428571428575,25.06142506142506,4.021428571428571,5.621428571428571,71.53748411689962,2.307142857142857,7.828571428571429,10.135714285714284,3.6142857142857143,2.2,0.9571428571428571,1.842857142857143,2.085714285714286,20.285714285714285,14,415.34833333333336,109,227,48.01762114537445,10,41,24.390243902439025,56,79,70.88607594936708,32,110,142,51,31,13,26,29,284,1.2505504183179215
Dwight Powell,3,208.3,108.9,33.0,61.0,10.088524590163933,0.7999999999999999,1.1196721311475413,71.4494875549048,0.0,0.09016393442622951,0.0,0.6967213114754098,0.9967213114754098,69.90131578947368,0.8901639344262294,1.319672131147541,2.1196721311475413,0.9704918032786886,0.34918032786885245,0.3,0.39016393442622954,1.4885245901639343,2.30655737704918,61,616.4033333333333,47,69,68.11594202898551,2,5,40.0,43,60,71.66666666666667,52,80,132,59,23,20,23,89,139,2.060029282576866
Olivier-Maxence Prosper,2,200.7,104.3,22.0,52.0,11.2,1.3000000000000003,3.3,39.393939393939405,0.2,1.0,20.0,0.9000000000000001,1.5,60.00000000000001,0.8,1.6,2.4,0.8,0.3,0.5,0.1,0.5,3.8999999999999995,52,584.07,70,174,40.229885057471265,12,51,23.52941176470588,49,76,64.47368421052632,44,82,126,40,14,26,6,28,201,1.1818181818181817
Brandon Williams,1,185.4,86.2,25.0,38.0,14.484210526315792,2.9473684210526314,5.63421052631579,52.31200373657169,0.6342105263157894,1.7473684210526317,36.295180722891565,1.6605263157894736,2.0526315789473686,80.89743589743588,0.37368421052631584,1.4,1.773684210526316,2.1289473684210525,1.2526315789473685,0.7394736842105263,0.2,1.0526315789473684,8.102631578947369,38,549.2083333333334,111,214,51.86915887850467,25,67,37.3134328358209,62,78,79.48717948717949,13,53,66,81,47,29,6,40,309,1.438113031293788
Kyrie Irving,1,188.0,88.5,33.0,50.0,36.1,8.9,18.9,47.089947089947096,2.9,7.2,40.27777777777777,3.9,4.3,90.69767441860466,1.2,3.6,4.8,4.6,2.2,1.3,0.5,2.0,24.7,50,1803.7966666666664,447,945,47.3015873015873,144,359,40.11142061281337,196,214,91.58878504672897,60,180,240,231,111,66,23,101,1234,1.306878306878307
Naji Marshall,2,198.1,99.8,27.0,76.0,27.30263157894737,4.9144736842105265,9.811842105263159,50.08716642081266,0.8447368421052632,3.025,27.925184862983908,1.9644736842105261,2.3552631578947367,83.40782122905027,1.0355263157894736,3.607894736842105,4.643421052631578,2.880263157894737,1.5355263157894736,1.0,0.18157894736842106,1.6644736842105263,12.638157894736842,76,2076.005,377,747,50.46854082998661,62,227,27.312775330396477,148,180,82.22222222222221,79,271,350,220,118,77,11,125,964,1.2880514952393725
